"Date_Received","Pole_No","Lat","Long"
"11/4/2014 0:00","04H0062","37.429852","-121.965691"
"10/25/2011 0:00","04H0062","37.429852","-121.965691"
"12/12/2011 0:00","04H0063","37.43068","-121.965006"
"11/4/2014 0:00","04H0063","37.43068","-121.965006"
"11/4/2014 0:00","04H0064","37.430956","-121.964613"
"12/12/2011 0:00","04H0064","37.430956","-121.964613"
"12/16/2011 0:00","04H0102","37.424023","-121.967878"
"12/16/2011 0:00","04H0103","37.424153","-121.968417"
"12/16/2011 0:00","04H0104","37.424272","-121.968937"
"12/12/2011 0:00","04H0115","37.430258","-121.965459"
"12/12/2011 0:00","04H0116","37.429878","-121.965277"
"12/12/2011 0:00","04H0117","37.429484","-121.96544"
"7/25/2013 0:00","04H0122","37.427851","-121.964354"
"7/28/2011 0:00","04H0124","37.427284","-121.963286"
"3/27/2014 0:00","04H0125","37.426858","-121.962831"
"7/28/2011 0:00","04H0126","37.426657","-121.962282"
"3/27/2014 0:00","04H0127","37.426196","-121.961873"
"3/7/2015 0:00","04H0127","37.426196","-121.961873"
"9/21/2010 0:00","05G0009","NULL","NULL"
"10/20/2011 0:00","05G0044","37.420986","-121.975939"
"10/20/2011 0:00","05G0046","37.421839","-121.976184"
"12/12/2011 0:00","05H0022","37.423072","-121.963244"
"9/18/2014 0:00","05H0022","37.423072","-121.963244"
"9/18/2014 0:00","05H0023","37.423335","-121.962836"
"12/12/2011 0:00","05H0023","37.423335","-121.962836"
"12/12/2011 0:00","05H0025","37.423488","-121.962031"
"9/19/2014 0:00","05H0026","37.423699","-121.961642"
"4/1/2014 0:00","05H0027","37.423509","-121.961155"
"10/7/2013 0:00","05H0030","37.423712","-121.95975"
"10/7/2013 0:00","05H0030","37.423712","-121.95975"
"9/16/2014 0:00","05H0031","NULL","NULL"
"9/16/2014 0:00","05H0032","37.423711","-121.95879"
"10/16/2013 0:00","05H0032","37.423711","-121.95879"
"10/16/2013 0:00","05H0033","37.423524","-121.958267"
"10/16/2013 0:00","05H0034","37.4237","-121.957778"
"10/7/2013 0:00","05H0035","37.423475","-121.957289"
"10/7/2013 0:00","05H0035","37.423475","-121.957289"
"10/16/2013 0:00","05H0036","37.423661","-121.956778"
"10/16/2013 0:00","05H0037","37.423493","-121.956305"
"10/16/2013 0:00","05H0038","37.4237","-121.955861"
"10/16/2013 0:00","05H0039","37.4236","-121.955375"
"10/16/2013 0:00","05H0040","37.423701","-121.954939"
"10/16/2013 0:00","05H0041","37.423575","-121.954413"
"10/4/2013 0:00","05H0064","37.420525","-121.961622"
"4/6/2012 0:00","05H0088","37.414933","-121.954052"
"7/2/2014 0:00","05H0109","37.418101","-121.958392"
"7/2/2014 0:00","05H0110","37.418295","-121.958548"
"7/2/2014 0:00","05H0111","37.418667","-121.958924"
"9/29/2011 0:00","05H0111","37.418667","-121.958924"
"12/12/2011 0:00","05H0112","37.422666","-121.9636"
"4/1/2014 0:00","05H0112","37.422666","-121.9636"
"9/19/2014 0:00","05H0112","37.422666","-121.9636"
"9/19/2014 0:00","05H0113","37.42260497","-121.9640356"
"9/19/2014 0:00","05H0114","37.42303101","-121.963734"
"9/19/2014 0:00","05H0115","37.423354","-121.963257"
"12/12/2011 0:00","05H0115","37.423354","-121.963257"
"12/12/2011 0:00","05H0116","37.423633","-121.962477"
"9/19/2014 0:00","05H0116","37.423633","-121.962477"
"4/1/2014 0:00","05H0123","37.423476","-121.960535"
"8/27/2013 0:00","05I0031","37.414384","-121.947417"
"8/27/2013 0:00","05I0032","37.414846","-121.947044"
"9/3/2013 0:00","05I0033","37.41506","-121.947714"
"9/3/2013 0:00","05I0034","37.415444","-121.948285"
"9/3/2013 0:00","05I0037","37.4163","-121.950224"
"9/3/2013 0:00","05I0038","37.416716","-121.950778"
"9/3/2013 0:00","05I0039","37.416919","-121.951529"
"8/6/2014 0:00","05I0057","37.419064","-121.949078"
"8/6/2014 0:00","05I0059","37.419084","-121.947624"
"8/7/2014 0:00","05I0060","37.418934","-121.946905"
"5/30/2014 0:00","05I0061","37.419076","-121.946118"
"8/7/2014 0:00","05I0062","37.418951","-121.945391"
"8/6/2014 0:00","05I0063","37.419076","-121.944698"
"8/6/2014 0:00","05I0065","37.419185","-121.943302"
"5/30/2014 0:00","05I0066","37.419125","-121.942589"
"8/6/2014 0:00","05I0067","37.419288","-121.941835"
"9/6/2012 0:00","05I0067","37.419288","-121.941835"
"7/23/2014 0:00","05I0068","37.419027","-121.941297"
"7/23/2014 0:00","05I0069","37.418871","-121.940511"
"8/17/2015 0:00","05I0070","37.418421","-121.940147"
"8/6/2014 0:00","05I0071","37.418325","-121.939786"
"6/4/2014 0:00","05I0080","37.41780046","-121.9392152"
"6/4/2014 0:00","05I0080","37.41780046","-121.9392152"
"9/6/2012 0:00","05I0081","37.4178","-121.939215"
"9/6/2012 0:00","05I0082","37.417504","-121.939118"
"9/6/2012 0:00","05I0083","37.417271","-121.939025"
"9/6/2012 0:00","05I0084","37.417029","-121.938938"
"8/18/2015 0:00","05I0085","37.418062","-121.93967"
"8/6/2014 0:00","05I0092","37.418696","-121.950728"
"8/6/2014 0:00","05I0093","37.41895","-121.950734"
"8/6/2014 0:00","05I0094","37.419067","-121.950237"
"8/6/2014 0:00","05I0112","37.41884822","-121.9509261"
"4/27/2011 0:00","05J0027","37.42388","-121.940036"
"8/1/2014 0:00","05J0041","37.419426","-121.939773"
"11/7/2013 0:00","05J0075","37.411699","-121.927118"
"8/1/2014 0:00","05J0076","37.412097","-121.926884"
"11/7/2013 0:00","05J0077","37.411559","-121.926713"
"11/7/2013 0:00","05J0079","37.41143","-121.926322"
"1/26/2011 0:00","05O0078","37.413272","-121.843219"
"10/28/2014 0:00","05O0080","37.412876","-121.846002"
"1/2/2015 0:00","06H0010","37.410768","-121.954564"
"12/22/2014 0:00","06H0024","37.411308","-121.958476"
"11/15/2011 0:00","06H0026","37.41402","-121.9563"
"11/15/2011 0:00","06H0035","37.414376","-121.956688"
"1/31/2014 0:00","06H0094","37.41115228","-121.9588385"
"12/22/2014 0:00","06H0094","37.41115228","-121.9588385"
"1/31/2014 0:00","06H0095","37.410767","-121.958815"
"1/31/2014 0:00","06H0096","37.41098141","-121.9591922"
"12/2/2011 0:00","06H0096","37.41098141","-121.9591922"
"12/22/2014 0:00","06H0096","37.41098141","-121.9591922"
"12/2/2011 0:00","06H0097","37.410592","-121.959185"
"1/31/2014 0:00","06H0097","37.410592","-121.959185"
"1/31/2014 0:00","06H0098","37.41074002","-121.9595801"
"12/2/2011 0:00","06H0098","37.41074002","-121.9595801"
"12/22/2014 0:00","06H0098","37.41074002","-121.9595801"
"8/1/2014 0:00","06I0009","37.414389","-121.953103"
"8/1/2014 0:00","06I0010","37.628064","-122.446955"
"12/7/2012 0:00","06I0010","37.628064","-122.446955"
"12/7/2012 0:00","06I0011","37.413588","-121.951783"
"12/7/2012 0:00","06I0012","37.41323","-121.951131"
"7/31/2014 0:00","06I0012","37.41323","-121.951131"
"7/31/2014 0:00","06I0013","37.412886","-121.950617"
"12/7/2012 0:00","06I0013","37.412886","-121.950617"
"10/2/2013 0:00","06I0015","37.412374","-121.9498"
"3/12/2014 0:00","06I0018","37.411359","-121.948149"
"3/10/2014 0:00","06I0030","37.404232","-121.946414"
"3/10/2014 0:00","06I0031","37.404447","-121.946977"
"3/10/2014 0:00","06I0032","37.404693","-121.947551"
"3/10/2014 0:00","06I0033","37.405137","-121.947679"
"3/10/2014 0:00","06I0034","37.405549","-121.948178"
"3/10/2014 0:00","06I0035","37.406091","-121.948366"
"3/10/2014 0:00","06I0036","37.405825","-121.942546"
"10/12/2011 0:00","06I0047","37.408296","-121.947175"
"10/24/2014 0:00","06I0095","37.411177","-121.940201"
"6/24/2015 0:00","06I0095","37.411177","-121.940201"
"9/6/2012 0:00","06I0117","37.416669","-121.938833"
"2/27/2014 0:00","06I0118","37.415449","-121.938751"
"2/27/2014 0:00","06I0119","37.415099","-121.939254"
"2/27/2014 0:00","06I0120","37.414547","-121.939532"
"2/27/2014 0:00","06I0121","37.414212","-121.940131"
"2/27/2014 0:00","06I0122","37.626622","-122.44634"
"2/28/2014 0:00","06I0123","37.413339","-121.94087"
"2/28/2014 0:00","06I0125","37.412559","-121.941632"
"6/30/2014 0:00","06I0132","37.409222","-121.939998"
"8/15/2011 0:00","06I0133","37.409015","-121.939915"
"3/15/2014 0:00","06I0162","37.404401","-121.941002"
"3/15/2014 0:00","06I0163","37.404041","-121.940776"
"2/3/2010 0:00","06I0165","37.407331","-121.942239"
"6/30/2014 0:00","06I0197","37.407927","-121.941359"
"6/30/2014 0:00","06I0198","37.408041","-121.941166"
"6/30/2014 0:00","06I0200","37.408253","-121.940777"
"8/15/2011 0:00","06I0201","37.408365","-121.940565"
"8/15/2011 0:00","06I0202","37.408508","-121.940372"
"6/3/2014 0:00","06I0202","37.408508","-121.940372"
"6/30/2014 0:00","06I0203","37.408629","-121.940188"
"6/30/2014 0:00","06I0204","37.408757","-121.939995"
"8/15/2011 0:00","06I0205","37.408885","-121.939797"
"6/24/2015 0:00","06I0234","37.41314516","-121.9365373"
"6/25/2015 0:00","06I0234","37.41314516","-121.9365373"
"6/15/2011 0:00","06J0102","37.404228","-121.935442"
"10/26/2011 0:00","06J0104","37.403956","-121.935635"
"9/18/2013 0:00","06J0116","37.405509","-121.928565"
"9/18/2013 0:00","06J0117","37.404973","-121.928646"
"9/19/2013 0:00","06J0118","37.404524","-121.928977"
"7/21/2014 0:00","06J0164","37.40364158","-121.9405015"
"7/21/2014 0:00","06J0165","37.40326448","-121.9402126"
"7/21/2014 0:00","06J0166","37.40287627","-121.9399308"
"7/29/2013 0:00","06J0189","37.410741","-121.936784"
"7/29/2013 0:00","06J0190","37.410405","-121.936646"
"10/8/2015 0:00","06J0354","37.4045643","-121.931487"
"10/8/2015 0:00","06J0355","37.40497069","-121.9313217"
"10/8/2015 0:00","06J0356","37.40523038","-121.9312189"
"10/13/2015 0:00","06J0357","37.40547995","-121.9311227"
"11/7/2013 0:00","06K0025","37.41127","-121.925872"
"1/2/2013 0:00","06K0027","37.411134","-121.925433"
"1/2/2013 0:00","06K0029","37.411011","-121.924949"
"1/4/2013 0:00","06K0031","37.410923","-121.924479"
"1/4/2013 0:00","06K0033","37.410853","-121.923994"
"1/4/2013 0:00","06K0035","37.410818","-121.923464"
"1/4/2013 0:00","06K0037","37.410833","-121.922966"
"1/10/2013 0:00","06L0013","37.403571","-121.894897"
"5/20/2013 0:00","06L0060","37.399112","-121.89085"
"3/6/2013 0:00","06L0064","37.399542","-121.888904"
"3/6/2013 0:00","06L0069","37.400828","-121.896515"
"4/6/2015 0:00","06L0069","37.400828","-121.896515"
"4/6/2015 0:00","06L0070","37.400981","-121.895712"
"7/16/2014 0:00","06L0080","37.400807","-121.888515"
"1/30/2014 0:00","06L0094","37.399003","-121.902412"
"3/22/2013 0:00","06L0104","37.399078","-121.901485"
"3/6/2013 0:00","06L0109","37.401194","-121.887778"
"1/30/2014 0:00","06L0113","37.399016","-121.902829"
"12/23/2014 0:00","06L0114","37.399428","-121.902849"
"5/29/2014 0:00","06L0115","37.400006","-121.90294"
"7/18/2014 0:00","06L0126","37.400543","-121.90301"
"7/18/2014 0:00","06L0127","37.401017","-121.903034"
"7/18/2014 0:00","06L0128","37.401512","-121.903037"
"1/10/2013 0:00","06L0141","37.403593","-121.895207"
"8/1/2014 0:00","06L0143","37.399413","-121.888488"
"7/16/2014 0:00","06L0146","37.400667","-121.888558"
"3/6/2013 0:00","06L0147","37.40083","-121.887941"
"10/13/2015 0:00","06M0084","37.406464","-121.888195"
"4/30/2013 0:00","06M0279","37.402961","-121.883547"
"4/30/2013 0:00","06M0279","37.402961","-121.883547"
"4/30/2013 0:00","06M0283","37.402949","-121.884929"
"4/30/2013 0:00","06M0283","37.402949","-121.884929"
"2/10/2012 0:00","06M0415","37.402873","-121.886648"
"10/17/2011 0:00","06M0416","37.402824","-121.886247"
"10/23/2012 0:00","06M0417","37.402796","-121.885792"
"10/23/2012 0:00","06M0418","37.402766","-121.885279"
"7/8/2013 0:00","06M0421","37.40410215","-121.8851484"
"7/12/2012 0:00","06M0422","37.40446284","-121.8848062"
"12/5/2012 0:00","06N0019","37.410748","-121.866557"
"12/3/2012 0:00","06N0020","37.410514","-121.867055"
"11/29/2012 0:00","06N0021","37.410243","-121.867658"
"1/31/2013 0:00","06N0022","37.409913","-121.868314"
"1/31/2013 0:00","06N0022","37.409913","-121.868314"
"9/10/2013 0:00","06N0023","37.409615","-121.868922"
"9/11/2013 0:00","06N0024","37.409294","-121.869552"
"10/16/2014 0:00","06N0332","37.401199","-121.8584"
"9/20/2013 0:00","07J0042","37.388861","-121.928093"
"9/20/2013 0:00","07J0043","37.38936","-121.927812"
"8/14/2014 0:00","07K0002","37.393504","-121.914253"
"6/24/2014 0:00","07K0020","37.385787","-121.909112"
"8/5/2014 0:00","07K0021","37.386039","-121.908491"
"8/5/2014 0:00","07K0024","37.386672","-121.906717"
"6/24/2014 0:00","07K0025","37.663904","-122.466781"
"6/24/2014 0:00","07K0066","37.385707","-121.909995"
"1/2/2013 0:00","07K0072","37.39203","-121.905383"
"11/24/2014 0:00","07K0078","37.395169","-121.90955"
"6/2/2014 0:00","07K0079","37.396861","-121.911554"
"6/2/2014 0:00","07K0080","37.397369","-121.912107"
"8/7/2014 0:00","07K0083","37.396308","-121.911043"
"8/7/2014 0:00","07K0084","37.395845","-121.910505"
"1/22/2014 0:00","07K0085","37.386582","-121.90599"
"6/25/2014 0:00","07K0086","37.38609","-121.90589"
"1/22/2014 0:00","07K0087","37.387212","-121.905942"
"6/25/2014 0:00","07K0088","37.38778","-121.906102"
"6/25/2014 0:00","07K0089","37.388411","-121.906247"
"6/25/2014 0:00","07K0090","37.388953","-121.906379"
"6/25/2014 0:00","07K0091","37.389558","-121.906543"
"8/14/2014 0:00","07K0101","37.394314","-121.915356"
"12/23/2014 0:00","07K0101","37.394314","-121.915356"
"10/7/2014 0:00","07K0103","37.39305127","-121.9028041"
"2/4/2014 0:00","07K0106","37.393026","-121.901531"
"1/30/2014 0:00","07K0107","NULL","NULL"
"3/21/2011 0:00","07K0107","NULL","NULL"
"3/21/2011 0:00","07K0108","NULL","NULL"
"1/30/2014 0:00","07K0108","NULL","NULL"
"8/6/2014 0:00","07K0109","37.39763","-121.912153"
"6/2/2014 0:00","07K0110","37.397249","-121.911603"
"8/7/2014 0:00","07K0111","37.396748","-121.911135"
"8/7/2014 0:00","07K0112","37.396275","-121.910689"
"8/7/2014 0:00","07K0113","37.395851","-121.910212"
"11/13/2013 0:00","07K0114","37.39759","-121.911665"
"11/13/2013 0:00","07K0115","37.398026","-121.911228"
"11/8/2013 0:00","07K0116","37.398426","-121.910756"
"11/13/2013 0:00","07K0117","37.398221","-121.910295"
"11/13/2013 0:00","07K0118","37.397628","-121.909927"
"8/11/2014 0:00","07K0119","37.397168","-121.909381"
"8/11/2014 0:00","07K0120","37.396749","-121.909835"
"8/11/2014 0:00","07K0121","37.396326","-121.910247"
"6/25/2014 0:00","07K0122","37.385476","-121.905802"
"6/25/2014 0:00","07K0123","37.384952","-121.905704"
"6/25/2014 0:00","07K0124","37.384442","-121.905551"
"9/9/2014 0:00","07K0126","37.394762","-121.909434"
"8/7/2014 0:00","07K0127","37.395406","-121.910084"
"12/22/2014 0:00","07K0127","37.395406","-121.910084"
"11/18/2015 0:00","07K0129","37.39507275","-121.9170766"
"11/18/2015 0:00","07K0130","37.39556051","-121.9173513"
"11/18/2015 0:00","07K0131","37.39594073","-121.917979"
"11/18/2015 0:00","07K0132","37.39660596","-121.9189714"
"1/24/2011 0:00","07K0134","37.392202","-121.90499"
"1/2/2013 0:00","07K0134","37.392202","-121.90499"
"1/2/2013 0:00","07K0135","37.391795","-121.905861"
"1/5/2015 0:00","07K0162","37.391266","-121.902403"
"6/11/2014 0:00","07K0163","37.392863","-121.902945"
"6/11/2014 0:00","07K0165","37.39328923","-121.9025876"
"11/18/2013 0:00","07K0167","37.39414403","-121.9018388"
"11/18/2013 0:00","07K0168","37.39398527","-121.9018014"
"8/26/2013 0:00","07K0176","37.392661","-121.90149"
"1/23/2014 0:00","07K0178","37.391632","-121.901327"
"7/8/2013 0:00","07L0060","37.393271","-121.897824"
"3/8/2013 0:00","07L0061","37.393874","-121.897537"
"5/3/2013 0:00","07L0063","37.39489","-121.89761"
"5/3/2013 0:00","07L0063","37.39489","-121.89761"
"7/8/2013 0:00","07L0064","37.395418","-121.897955"
"7/8/2013 0:00","07L0065","37.395934","-121.897704"
"10/16/2013 0:00","07L0080","37.386315","-121.901112"
"10/17/2013 0:00","07L0081","37.3859","-121.901093"
"10/17/2013 0:00","07L0082","37.38549","-121.901332"
"10/17/2013 0:00","07L0083","37.385064","-121.901324"
"2/6/2014 0:00","07L0084","37.384587","-121.901464"
"3/17/2014 0:00","07L0091","37.391182","-121.89629"
"3/17/2014 0:00","07L0092","37.390517","-121.895641"
"5/14/2015 0:00","07L0093","37.389866","-121.895007"
"3/17/2014 0:00","07L0094","37.390801","-121.895744"
"10/1/2014 0:00","07L0108","37.391388","-121.896917"
"3/17/2014 0:00","07L0110","37.390788","-121.896336"
"3/17/2014 0:00","07L0111","37.390084","-121.895615"
"3/17/2014 0:00","07L0112","37.389705","-121.895431"
"5/14/2015 0:00","07L0112","37.389705","-121.895431"
"2/19/2014 0:00","07L0113","37.389067","-121.896444"
"10/29/2014 0:00","07L0117","37.385684","-121.897633"
"10/29/2014 0:00","07L0118","37.385306","-121.897401"
"6/21/2012 0:00","07L0120","37.386554","-121.896611"
"2/13/2014 0:00","07L0124","37.395875","-121.901781"
"10/31/2012 0:00","07L0125","37.395353","-121.901656"
"10/31/2012 0:00","07L0126","37.394805","-121.901549"
"10/31/2012 0:00","07L0127","37.394309","-121.901449"
"3/8/2013 0:00","07L0129","37.393597","-121.897433"
"3/8/2013 0:00","07L0130","37.393847","-121.896969"
"3/8/2013 0:00","07L0132","37.393641","-121.896356"
"2/5/2014 0:00","07L0133","37.388277","-121.899536"
"2/14/2014 0:00","07L0140","37.395174","-121.902017"
"5/14/2015 0:00","07L0140","37.395174","-121.902017"
"6/17/2014 0:00","07L0143","37.391093","-121.890489"
"9/12/2014 0:00","07L0143","37.391093","-121.890489"
"9/12/2014 0:00","07L0143","37.391093","-121.890489"
"5/6/2015 0:00","07L0146","37.390632","-121.889038"
"5/6/2015 0:00","07L0147","37.390114","-121.88857"
"5/6/2015 0:00","07L0148","37.392389","-121.889202"
"4/8/2015 0:00","07L0148","37.392389","-121.889202"
"5/14/2015 0:00","07L0151","37.38533645","-121.8908115"
"12/27/2011 0:00","07L0152","37.38604691","-121.8914968"
"5/25/2012 0:00","07L0153","37.386746","-121.892154"
"5/14/2015 0:00","07L0154","37.38580756","-121.8910018"
"5/25/2012 0:00","07L0155","37.386498","-121.891723"
"4/9/2015 0:00","07L0156","37.389269","-121.895823"
"5/14/2015 0:00","07L0157","37.389407","-121.894915"
"4/30/2013 0:00","07L0157","37.389407","-121.894915"
"4/30/2013 0:00","07L0157","37.389407","-121.894915"
"3/25/2014 0:00","07L0160","37.388048","-121.894514"
"7/31/2012 0:00","07L0162","37.387765","-121.893179"
"7/31/2012 0:00","07L0163","37.387097","-121.892538"
"9/6/2013 0:00","07L0170","37.387426","-121.898768"
"9/6/2013 0:00","07L0171","37.388103","-121.897785"
"4/4/2014 0:00","07L0179","37.389199","-121.8988"
"3/20/2014 0:00","07L0186","37.388951","-121.897139"
"3/21/2014 0:00","07L0188","37.388841","-121.897905"
"3/21/2014 0:00","07L0189","37.388457","-121.897523"
"4/9/2015 0:00","07L0190","37.388346","-121.898463"
"4/9/2015 0:00","07L0191","37.388159","-121.898009"
"10/21/2012 0:00","07L0192","37.387745","-121.898481"
"2/3/2014 0:00","07L0193","37.38796","-121.898151"
"10/31/2012 0:00","07L0195","37.387585","-121.89895"
"1/30/2014 0:00","07L0196","37.387809","-121.899184"
"8/26/2013 0:00","07L0204","37.391212","-121.901242"
"3/25/2014 0:00","07L0205","37.387145","-121.895979"
"3/25/2014 0:00","07L0206","37.387538","-121.895431"
"5/14/2015 0:00","07L0208","37.389096","-121.896099"
"2/3/2014 0:00","07L0217","37.388465","-121.897094"
"9/6/2013 0:00","07L0218","37.388332","-121.897365"
"5/14/2015 0:00","07L0228","37.389364","-121.894503"
"4/9/2015 0:00","07L0229","37.389007","-121.894195"
"5/14/2015 0:00","07L0236","NULL","NULL"
"6/6/2012 0:00","07L0254","37.39304371","-121.9012068"
"6/6/2012 0:00","07L0255","37.39235168","-121.9010512"
"6/6/2012 0:00","07L0255","37.39235168","-121.9010512"
"8/26/2013 0:00","07L0256","37.39231593","-121.9014309"
"8/26/2013 0:00","07L0257","37.39171531","-121.9013113"
"2/5/2014 0:00","07L0258","37.39054748","-121.9006906"
"2/5/2014 0:00","07L0259","37.39105629","-121.9007941"
"7/11/2013 0:00","07L0260","37.38999743","-121.9005863"
"4/30/2013 0:00","07L0266","37.38921501","-121.8914534"
"7/10/2013 0:00","07L0267","37.38948962","-121.8912223"
"3/7/2013 0:00","07L0268","37.38892599","-121.8903563"
"3/7/2013 0:00","07L0268","37.38892599","-121.8903563"
"2/14/2014 0:00","07L0274","37.39614112","-121.9022507"
"11/18/2013 0:00","07L0277","37.39511086","-121.9020705"
"6/12/2014 0:00","07L0277","37.39511086","-121.9020705"
"1/5/2015 0:00","07L0278","37.39486378","-121.9019836"
"11/18/2013 0:00","07L0278","37.39486378","-121.9019836"
"11/5/2014 0:00","07L0959","37.39138","-121.890099"
"10/21/2014 0:00","07M0001","37.387891","-121.876056"
"10/21/2014 0:00","07M0002","37.387409","-121.875536"
"10/21/2014 0:00","07M0003","37.386911","-121.874998"
"1/20/2015 0:00","07M0003","37.386911","-121.874998"
"10/21/2014 0:00","07M0007","37.384628","-121.874112"
"10/21/2014 0:00","07M0008","37.384299","-121.874438"
"10/21/2014 0:00","07M0009","37.384534","-121.874438"
"10/21/2014 0:00","07M0010","37.384839","-121.874982"
"10/21/2014 0:00","07M0011","37.385373","-121.875408"
"6/25/2014 0:00","07M0198","37.38616","-121.877584"
"1/11/2015 0:00","07M0234","37.387394","-121.886258"
"2/5/2013 0:00","07M0235","37.387821","-121.875587"
"12/21/2011 0:00","07M0238","37.393934","-121.876094"
"12/21/2011 0:00","07M0239","37.394187","-121.875688"
"12/21/2011 0:00","07M0240","37.394467","-121.875257"
"10/21/2014 0:00","07M0249","37.395153","-121.876161"
"12/15/2014 0:00","07M0251","37.386743","-121.886746"
"1/11/2015 0:00","07M0252","37.387126","-121.886752"
"12/15/2014 0:00","07M0253","37.38704937","-121.8862392"
"1/11/2015 0:00","07M0254","37.387164","-121.886062"
"12/3/2014 0:00","07M0256","37.387602","-121.886483"
"5/6/2015 0:00","07M0257","37.38791","-121.886336"
"1/11/2015 0:00","07M0258","37.388311","-121.887083"
"5/6/2015 0:00","07M0259","37.388301","-121.886671"
"12/15/2014 0:00","07M0260","37.386762","-121.885766"
"1/11/2015 0:00","07M0262","37.386285","-121.885289"
"5/6/2015 0:00","07M0264","37.387684","-121.885831"
"5/6/2015 0:00","07M0265","37.387505","-121.885389"
"5/6/2015 0:00","07M0266","37.387876","-121.88524"
"1/11/2015 0:00","07M0268","37.387956","-121.886773"
"6/25/2013 0:00","07M0269","37.390975","-121.873121"
"5/6/2015 0:00","07M0270","37.398102","-121.87898"
"5/6/2015 0:00","07M0271","37.398514","-121.878676"
"5/6/2015 0:00","07M0272","37.388718","-121.887032"
"5/6/2015 0:00","07M0273","37.389116","-121.887388"
"5/6/2015 0:00","07M0274","37.389586","-121.88777"
"5/6/2015 0:00","07M0275","37.390044","-121.888176"
"5/6/2015 0:00","07M0276","37.390468","-121.88853"
"5/6/2015 0:00","07M0277","37.390925","-121.888893"
"5/6/2015 0:00","07M0278","37.391431","-121.889322"
"4/8/2015 0:00","07M0279","37.392042","-121.889348"
"4/8/2015 0:00","07M0280","37.392813","-121.888623"
"5/14/2015 0:00","07M0284","37.385367","-121.889572"
"1/21/2015 0:00","07M0285","37.385688","-121.889111"
"12/12/2014 0:00","07M0287","37.38627","-121.888146"
"1/11/2015 0:00","07M0288","37.386554","-121.887679"
"1/11/2015 0:00","07M0289","37.386831","-121.887221"
"5/6/2015 0:00","07M0290","37.387628","-121.884745"
"5/6/2015 0:00","07M0291","37.387668","-121.884099"
"5/6/2015 0:00","07M0292","37.387673","-121.883446"
"5/6/2015 0:00","07M0293","37.387698","-121.882768"
"4/30/2013 0:00","07M0295","37.388631","-121.881208"
"1/21/2015 0:00","07M0308","37.38603125","-121.8879085"
"7/14/2015 0:00","07M0314","37.383928","-121.88598"
"12/2/2014 0:00","07M0315","37.384512","-121.88572"
"6/23/2015 0:00","07M0316","37.385002","-121.886054"
"6/23/2015 0:00","07M0317","37.385376","-121.886561"
"6/23/2015 0:00","07M0318","37.38581","-121.887035"
"10/10/2014 0:00","07M0321","37.384457","-121.882834"
"12/27/2013 0:00","07M0322","37.384767","-121.88302"
"7/14/2015 0:00","07M0323","37.385184","-121.882583"
"2/19/2015 0:00","07M0324","37.38506","-121.881896"
"5/21/2013 0:00","07M0333","37.384101","-121.882477"
"5/20/2013 0:00","07M0334","37.383669","-121.882172"
"1/5/2015 0:00","07M0336","37.385094","-121.884248"
"3/9/2010 0:00","07M0360","37.39380995","-121.8870629"
"4/8/2015 0:00","07M0365","37.392185","-121.874556"
"1/11/2015 0:00","07M0372","37.389212","-121.887791"
"1/11/2015 0:00","07M0373","37.3887","-121.887407"
"2/5/2013 0:00","07M0381","37.385815","-121.884238"
"2/5/2013 0:00","07M0382","37.386595","-121.883505"
"2/5/2013 0:00","07M0383","37.386088","-121.8838"
"3/6/2013 0:00","07M0384","37.386956","-121.882973"
"3/6/2013 0:00","07M0384","37.386956","-121.882973"
"5/20/2013 0:00","07M0387","37.38634","-121.883491"
"12/15/2014 0:00","07M0395","37.38646426","-121.8871624"
"12/4/2014 0:00","07M0404","37.385395","-121.885499"
"12/2/2014 0:00","07M0405","37.38494","-121.885241"
"12/2/2014 0:00","07M0406","37.384577","-121.885303"
"12/2/2014 0:00","07M0407","37.384926","-121.884965"
"12/4/2014 0:00","07M0408","37.385432","-121.884588"
"1/5/2015 0:00","07M0408","37.385432","-121.884588"
"1/5/2015 0:00","07M0409","37.385824","-121.88489"
"10/21/2014 0:00","07M0430","37.389544","-121.877437"
"10/21/2014 0:00","07M0431","37.389134","-121.876988"
"10/21/2014 0:00","07M0432","37.388948","-121.876757"
"10/21/2014 0:00","07M0433","37.388746","-121.876559"
